name,established,area_sqkm,lat,lng
Alutaguse National Park,2018,44331,59.233333,27.45
Karula National Park,1993,124,57.70043336,26.49307716
Lahemaa National Park,1971,748,59.56831353,25.78097586
Matsalu National Park,1957,489,58.77954993,23.52933837
Soomaa National Park,1993,398,58.48823224,24.98230813
Vilsandi National Park,1993,239,58.35706019,21.85427962
Gauja National Park,1973,918,57.297897,25.02563049
Razna National Park,2007,596,56.26669115,27.47773741
Kemeri National Park,1997,362,56.94196709,23.44346069
Slitere National Park,1999,164,57.69316475,22.41222766
Aukstaitija National Park,1974,411,55.34388508,26.05697319
Dzukija National Park,1991,585,54.15780536,24.18523664
Curonian Spit National Park,1991,274,55.29607895,20.9882309
Trakai National Historic Park,1991,81,54.64778816,24.93316703
Zemaitija National Park,1991,218,56.02785379,21.84773539
